Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 7""), 0)",,,,2023-07-17 16:39:17,2023-07-17 16:39:27,10.152s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 8""), 0)",,,,2023-07-17 16:39:27,2023-07-17 16:39:37,10.148s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 9""), 0)",,,,2023-07-17 16:39:37,2023-07-17 16:39:48,10.644s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 0""), 0)",,,,2023-07-17 16:39:48,2023-07-17 16:39:58,10.156s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/Button Result""), 0)",,,,2023-07-17 16:39:58,2023-07-17 16:40:08,10.156s,PASSED
closeApplication(),,,,2023-07-17 16:40:08,2023-07-17 16:40:09,0.509s,PASSED
,,,,,,,
Test Cases/SC01 - Basic Operations (int)/TC004 - Basic Operation - Division (Int),,,,2023-07-17 16:40:09,2023-07-17 16:41:28,1m - 19.724s,PASSED
"startApplication(""C:\Users\zaena\Desktop\Calculator_v8.1.apk"", true)",,,,2023-07-17 16:40:09,2023-07-17 16:40:16,6.801s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 1""), 0)",,,,2023-07-17 16:40:16,2023-07-17 16:40:27,10.891s,PASSED
"tap(findTestObject(""Main Calc Button/android.widget.Button - 0""), 0)",,,,2023-07-17 16:40:27,2023-07-17 16:40:37,10.203s,PASSED
"tap(findTestObject(""Main Calc Button/android.widget.Button - 0""), 0)",,,,2023-07-17 16:40:37,2023-07-17 16:40:47,10.178s,PASSED
"tap(findTestObject(""Main Calc Button/android.widget.Button - 0""), 0)",,,,2023-07-17 16:40:47,2023-07-17 16:40:57,10.186s,PASSED
"tap(findTestObject(""Main Calc Button/Button (Division)""), 0)",,,,2023-07-17 16:40:57,2023-07-17 16:41:07,10.172s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 5""), 0)",,,,2023-07-17 16:41:07,2023-07-17 16:41:17,10.176s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/Button Result""), 0)",,,,2023-07-17 16:41:17,2023-07-17 16:41:28,10.365s,PASSED
closeApplication(),,,,2023-07-17 16:41:28,2023-07-17 16:41:28,0.544s,PASSED
